Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,seg_data[7],Location,PIN_R16,Yes,,,
Ok,,seg_data[6],Location,PIN_N15,Yes,,,
Ok,,seg_data[5],Location,PIN_N12,Yes,,,
Ok,,seg_data[4],Location,PIN_P15,Yes,,,
Ok,,seg_data[3],Location,PIN_T15,Yes,,,
Ok,,seg_data[2],Location,PIN_P16,Yes,,,
Ok,,seg_data[1],Location,PIN_N16,Yes,,,
Ok,,seg_data[0],Location,PIN_R14,Yes,,,
Ok,,seg_sel[5],Location,PIN_M11,Yes,,,
Ok,,seg_sel[4],Location,PIN_P11,Yes,,,
Ok,,seg_sel[3],Location,PIN_N11,Yes,,,
Ok,,seg_sel[2],Location,PIN_M10,Yes,,,
Ok,,seg_sel[1],Location,PIN_P9,Yes,,,
Ok,,seg_sel[0],Location,PIN_N9,Yes,,,
Ok,,seg_sel[6],Location,PIN_E6,Yes,,,
Ok,,seg_sel[7],Location,PIN_D1,Yes,,,
